day_of_week,age_band_of_driver,sex_of_driver,educational_level,vehicle_driver_relation,driving_experience,type_of_vehicle,owner_of_vehicle,service_year_of_vehicle,defect_of_vehicle,area_accident_occured,lanes_or_medians,road_allignment,types_of_junction,road_surface_type,road_surface_conditions,light_conditions,weather_conditions,type_of_collision,number_of_vehicles_involved,number_of_casualties,vehicle_movement,pedestrian_movement,cause_of_accident,hour,time_period,Predicted_Accident_Severity
Thursday,31-50,Male,Above high school,Owner,1-2yr,Other,Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Driving to the left,9,Morning,2
Thursday,Over 51,Female,Above high school,Employee,No Licence,Stationwagen,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Not a Pedestrian,Driving carelessly,9,Morning,2
Friday,31-50,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,Unknown,No defect,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,18,Evening,2
Friday,Unknown,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,18,Evening,2
Tuesday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,Unknown,No defect,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Reversing,Not a Pedestrian,Changing lane to the right,19,Evening,2
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Other,Not a Pedestrian,Moving Backward,19,Evening,2
Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Unknown,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Driving carelessly,19,Evening,2
Tuesday,31-50,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,19,Evening,2
Friday,31-50,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving carelessly,13,Afternoon,1
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Reversing,Not a Pedestrian,Driving carelessly,13,Afternoon,2
Wednesday,Over 51,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Crossing from driver's nearside,Driving carelessly,8,Morning,2
Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Other,Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the right,13,Afternoon,2
Monday,31-50,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Not a Pedestrian,Changing lane to the right,16,Afternoon,2
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Driving carelessly,16,Afternoon,2
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,One way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Rollover,2,2,Going straight,Not a Pedestrian,Overtaking,8,Morning,2
Thursday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Gravel roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the right,8,Morning,2
Thursday,Over 51,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,8,Morning,2
Thursday,31-50,Male,Above high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Other,2,Night,1
Wednesday,Over 51,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Changing lane to the right,7,Morning,2
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the right,7,Morning,2
Wednesday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Overtaking,11,Morning,1
Thursday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,1-2yr,No defect, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Reversing,Not a Pedestrian,Other,18,Evening,2
Thursday,Under 18,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,2,Going straight,Not a Pedestrian,Driving to the left,18,Evening,2
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,2,Going straight,Not a Pedestrian,Overtaking,14,Afternoon,2
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,1,2,Going straight,Not a Pedestrian,No priority to vehicle,14,Afternoon,1
Saturday,Unknown,Male,High school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,2,Going straight,Not a Pedestrian,Moving Backward,2,Night,1
Wednesday,Over 51,Male,Above high school,Employee,1-2yr,Stationwagen,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Other,17,Evening,2
Saturday,18-30,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",No priority to vehicle,11,Morning,2
Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Other,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,11,Morning,2
Saturday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,Not a Pedestrian,Changing lane to the right,11,Morning,2
Saturday,Over 51,Male,High school,Employee,Below 1yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Double carriageway (median),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Changing lane to the right,11,Morning,2
Sunday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the right,10,Morning,2
Sunday,31-50,Male,High school,Employee,2-5yr,Lorry (41?100Q),Organization,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving to the left,10,Morning,2
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the left,10,Morning,2
Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Moving Backward,18,Evening,2
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Driving at high speed,18,Evening,2
Wednesday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,13,Afternoon,2
Wednesday,Over 51,Male,Unknown,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No distancing,13,Afternoon,2
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Going straight,Not a Pedestrian,Other,13,Afternoon,2
Tuesday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,No priority to vehicle,15,Afternoon,2
Thursday,Over 51,Male,Junior high school,Owner,1-2yr,Automobile,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Changing lane to the right,9,Morning,1
Monday,Unknown,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Moving Backward,Not a Pedestrian,Other,11,Morning,1
Monday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Moving Backward,Not a Pedestrian,No distancing,11,Morning,2
Monday,18-30,Male,Elementary school,Owner,5-10yr,Other,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,3,1,Going straight,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,11,Morning,2
Wednesday,Under 18,Male,Junior high school,Employee,Above 10yr,Other,Owner,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,No distancing,10,Morning,2
Wednesday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,3,1,Turnover,Not a Pedestrian,Moving Backward,10,Morning,2
Wednesday,31-50,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,10,Morning,2
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,18,Evening,2
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,No priority to pedestrian,18,Evening,2
Friday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,Changing lane to the left,18,Evening,2
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,No distancing,18,Evening,2
Friday,31-50,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Not a Pedestrian,Other,11,Morning,2
Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,11,Morning,1
Wednesday,Over 51,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,7,Morning,2
Wednesday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Cloudy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,7,Morning,2
Monday,18-30,Female,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Other,Not a Pedestrian,No priority to pedestrian,0,Night,2
Monday,31-50,Male,Junior high school,Employee,2-5yr,Other,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Getting off,Not a Pedestrian,No distancing,0,Night,2
Saturday,18-30,Male,Junior high school,Owner,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Crossing from driver's nearside,No priority to pedestrian,19,Evening,2
Saturday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Governmental,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving carelessly,19,Evening,2
Wednesday,31-50,Male,Elementary school,Other,5-10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Going straight,Not a Pedestrian,Getting off the vehicle improperly,19,Evening,2
Wednesday,Under 18,Male,Elementary school,Employee,5-10yr,Motorcycle,Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,3,Other,Not a Pedestrian,Driving carelessly,19,Evening,1
Thursday,Unknown,Male,Junior high school,Employee,5-10yr,Automobile,Governmental,2-5yrs,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Going straight,Not a Pedestrian,Changing lane to the left,12,Afternoon,1
Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Not a Pedestrian,No priority to vehicle,12,Afternoon,1
Friday,18-30,Male,Elementary school,Employee,Above 10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Other,Not a Pedestrian,Changing lane to the right,22,Night,2
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Unknown or other,Changing lane to the right,7,Morning,2
Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Unknown,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,7,Morning,2
Friday,31-50,Male,Elementary school,Employee,1-2yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,7,Morning,1
Saturday,Unknown,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,23,Night,1
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the right,23,Night,2
Wednesday,Over 51,Male,High school,Owner,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,No priority to vehicle,15,Afternoon,2
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the left,15,Afternoon,2
Wednesday,Unknown,Male,Junior high school,Employee,1-2yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Rollover,2,3,Going straight,Not a Pedestrian,No priority to vehicle,17,Evening,2
Wednesday,31-50,Male,Above high school,Owner,2-5yr,Public (12 seats),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Crossing from driver's nearside,Moving Backward,17,Evening,1
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,Unknown,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Turnover,16,Afternoon,1
Saturday,31-50,Male,Elementary school,Owner,2-5yr,Lorry (41?100Q),Governmental,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,13,Afternoon,2
Saturday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,No distancing,13,Afternoon,2
Friday,Over 51,Male,Junior high school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,12,Afternoon,2
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Automobile,Governmental,Above 10yr,No defect,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights unlit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Changing lane to the left,12,Afternoon,2
Friday,Over 51,Male,Junior high school,Employee,2-5yr,Public (13?45 seats),Owner,1-2yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No priority to vehicle,15,Afternoon,2
Friday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Driving at high speed,15,Afternoon,2
Friday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,Below 1yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overtaking,15,Afternoon,2
Friday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Other,15,Afternoon,2
Friday,31-50,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,15,Afternoon,2
Saturday,Under 18,Male,Junior high school,Employee,1-2yr,Stationwagen,Governmental,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,3,Night,2
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Turnover,Not a Pedestrian,Changing lane to the left,4,Night,0
Friday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,4,Night,1
Friday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,4,Night,1
Friday,18-30,Male,Junior high school,Employee,2-5yr,Other,Owner,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,4,Night,2
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Stationwagen,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Other,15,Afternoon,2
